"","acao","desp_paga","dot_atu","PLOA","Custeio","Dívida","Investimento","Pessoal","Direta","Transferencia","Fontes de Emissão","Fontes próprias","Fontes Tesouro","orgao_valor_1","orgao_valor_2","orgao_valor_3","orgao_valor_4","orgao_valor_5","orgao_valor_6","tituloacao","gnd_predominante","textoacao","2021","2020","2019","2018","2017","2016"
"627","20U5",371046.86,669413,1046388,0.980886630962893,0,0.0191133690371067,0,1,0,0.490442359812995,0,0.509557640187005,"25000 - Ministério da Economia__533195","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__513193",NA,NA,NA,NA,"Ensino de Graduação e Pós-Graduação em Estatísticas e Geociências","Custeio","ENSINO DE GRADUACAO E POS-GRADUACAO EM ESTATISTICAS E GEOCIENCIAS",1046388,1065977,1920655,1877188,1610399,1464000
"628","20U6",13899959.15,19744342,27817460,0.973230985143863,0,0.0267690148561371,0,1,0,0.486615240931415,0,0.513384759068585,"25000 - Ministério da Economia__14281060","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__13536400",NA,NA,NA,NA,"Pesquisas e Estudos Estatísticos","Custeio","PESQUISAS E ESTUDOS ESTATISTICOS",27817460,33020362,44166355,42118932,42633600,45042816
"629","20U7",116118517.18,220976559.000001,2e+09,0.9762802065,0,0.0237197935,0,1,0,0.9,0.0216890625,0.0783109375,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1.8e+09","25000 - Ministério da Economia__2e+08",NA,NA,NA,NA,"Censos Demográfico, Agropecuário e Geográfico","Custeio","CENSOS DEMOGRAFICO, AGROPECUARIO E GEOGRAFICO",2e+09,2.3e+09,200842827,299623840,NA,325800000
"630","20U8",912563.809999999,2782957,2770893,0.963838733577948,0,0.0361612664220524,0,1,0,0.481918645000005,0,0.518081354999995,"25000 - Ministério da Economia__1435548","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1335345",NA,NA,NA,NA,"Pesquisas, Estudos e Levantamentos Geocientíficos","Custeio","PESQUISAS, ESTUDOS E LEVANTAMENTOS GEOCIENTIFICOS",2770893,3348280,5985873,6669438,6941291,7361457
"631","20U9",4753375.84,10101218,8094938,0.99135262061303,0,0.00864737938696998,0,0.964422210522181,0.0355777894778193,0.495676063238533,0,0.504323936761467,"25000 - Ministério da Economia__4082471","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4012467",NA,NA,NA,NA,"Desenvolvimento de Competências de Agentes Públicos","Custeio","DESENVOLVIMENTO DE COMPETENCIAS DE AGENTES PUBLICOS",8094938,7065000,7286411,8038523,7201500,7581500
"632","20UB",14198902.76,30367314,24251494,1,0,0,0,1,0,0,0,1,"39000 - Ministério da Infraestrutura__24251494",NA,NA,NA,NA,NA,"Fiscalização dos Serviços de Transporte Rodoviário","Custeio","FISCALIZACAO DOS SERVICOS DE TRANSPORTE RODOVIARIO",24251494,30640725,42742437,36450290,27114580,26376551
"633","20UC",91104890.84,341807842,348405127,0.373832406318177,0,0.626167593681823,0,1,0,0.168797280643921,0.000984098606562698,0.830218620749516,"39000 - Ministério da Infraestrutura__289595289","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__58809838",NA,NA,NA,NA,"Estudos, Projetos e Planejamento de Infraestrutura de Transportes","Investimento","ESTUDOS, PROJETOS E PLANEJAMENTO DE INFRAESTRUTURA DE TRANSPORTES",348405127,294447066,10240000,3163291,6332526,16771368
"634","20UF",20972409.42,30348330,4.2e+07,0.876190476190476,0,0.123809523809524,0,1,0,0.52455319047619,0,0.47544680952381,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__22031234","30000 - Ministério da Justiça e Segurança Pública__19968766",NA,NA,NA,NA,"Regularização, Demarcação e Fiscalização de Terras Indígenas e Proteção dos Povos Indígenas Isolados","Custeio","REGULARIZACAO, DEMARCACAO E FISCALIZACAO DE TERRAS INDIGENAS E PROTECAO DOS POVOS INDIGENAS ISOLADOS",4.2e+07,33464533,34989110,22989110,15348178,18729910
"635","20UQ",2462395,8446984,3685322,0.84117480100789,0,0.15882519899211,0,1,0,0.509322116222137,0,0.490677883777863,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1877016","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1808306",NA,NA,NA,NA,"Apoio a Projetos de Tecnologias Aplicadas, Tecnologias Sociais e Extensão Tecnológica Articulados às Políticas Públicas de Inovação e Desenvolvimento Sustentável do Brasil","Custeio","APOIO A PROJETOS DE TECNOLOGIAS APLICADAS, TECNOLOGIAS SOCIAIS E EXTENSAO TECNOLOGICA ARTICULADOS AS POLITICAS PUBLICAS DE INOVACAO E DESENVOLVIMENTO SUSTENTAVEL DO BRASIL",3685322,6e+06,NA,10620000,25085506,12943762
"636","20US",9060740.002353,29213478,71521605,0.829964679903366,0,0.170035320096634,0,1,0,0.480905524980878,0.0357213600002405,0.483373115018881,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__37126470","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__34395135",NA,NA,NA,NA,"Fomento a Projetos, Programas e Redes de Pesquisa e Desenvolvimento (P&D)","Custeio","FOMENTO A PROJETOS, PROGRAMAS E REDES DE PESQUISA E DESENVOLVIMENTO (P&D)",71521605,46330000,152935663,86056754,145672364,55580047
"637","20UV",643780,1589745,1350000,0.888888888888889,0,0.111111111111111,0,1,0,0.538212592592593,0,0.461787407407407,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__726587","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__623413",NA,NA,NA,NA,"Fomento a Pesquisa e Desenvolvimento em Ciência e Tecnologia do Mar, Oceanos e Clima","Custeio","FOMENTO A PESQUISA E DESENVOLVIMENTO EM CIENCIA E TECNOLOGIA DO MAR, OCEANOS E CLIMA",1350000,1620000,1900000,1890000,7e+05,465701
"638","20UW",3054070.46,6793448,6559065,0.765424187746272,0,0.234575812253728,0,1,0,0.0418981973802669,0,0.958101802619733,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__6284252","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__274813",NA,NA,NA,NA,"Segurança Nuclear, Controle de Material Nuclear e Proteção Física de Instalações Nucleares e Radiativas","Custeio","SEGURANCA NUCLEAR, CONTROLE DE MATERIAL NUCLEAR E PROTECAO FISICA DE INSTALACOES NUCLEARES E RADIATIVAS",6559065,6900000,14796000,10237541,7633582,7092226
"639","20UX",51665564.98,66507027,66764930,0.941093550161739,0,0.0589064498382609,0,1,0,0.231812554884728,0.558241669690959,0.209945775424313,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__51287981","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__15476949",NA,NA,NA,NA,"Desenvolvimento da Ciência e da Tecnologia Nucleares","Custeio","DESENVOLVIMENTO DA CIENCIA E DA TECNOLOGIA NUCLEARES",66764930,64755887,62540552,17515707,18965000,20015000
"640","20V1",45544279.97,51437444,34986049,0.957125767473772,0,0.0428742325262278,0,1,0,0.881767329600436,0.0190753462901741,0.09915732410939,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__30849555","32000 - Ministério de Minas e Energia__4136494",NA,NA,NA,NA,"Fabricação de Equipamentos Pesados para as Indústrias Nuclear e de Alta Tecnologia","Custeio","FABRICACAO DE EQUIPAMENTOS PESADOS PARA AS INDUSTRIAS NUCLEAR E DE ALTA TECNOLOGIA",34986049,44218895,53867187,56099868,93571412,78580610
"641","20V6",5764103.23,27187215,16502751,0.938175338160286,0,0.0618246618397139,0,1,0,0.568054804923131,0,0.431945195076869,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__9374467","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__7128284",NA,NA,NA,NA,"Fomento à Pesquisa e Desenvolvimento Voltados à Inovação, a Tecnologias Digitais e ao Processo Produtivo","Custeio","FOMENTO A PESQUISA E DESENVOLVIMENTO VOLTADOS A INOVACAO, A TECNOLOGIAS DIGITAIS E AO PROCESSO PRODUTIVO",16502751,10300000,10620471,9363407,15734002,1e+07
"642","20V7",36156403.41,56813447,48999524,0.904811034490866,0,0.0951889655091343,0,1,0,0.545118070942893,0.00451698265477028,0.450364946402336,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__26710526","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__22288998",NA,NA,NA,NA,"Pesquisa, Desenvolvimento Científico, Difusão do Conhecimento e Popularização da Ciência nas Unidades de Pesquisa do MCTI","Custeio","PESQUISA, DESENVOLVIMENTO CIENTIFICO, DIFUSAO DO CONHECIMENTO E POPULARIZACAO DA CIENCIA NAS UNIDADES DE PESQUISA DO MCTI",48999524,61810141,12131226,6881226,11558786,41417818
"643","20V8",45464530.72,66007012,51186513,0.950485824263903,0,0.0495141757360967,0,1,0,0.66534008675293,0,0.33465991324707,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__34056439","41000 - Ministério das Comunicações__17130074",NA,NA,NA,NA,"Apoio a Iniciativas e Projetos de Inclusão Digital","Custeio","APOIO A INICIATIVAS E PROJETOS DE INCLUSAO DIGITAL",17130074,46920000,46136917,18456918,30029947,3130947
"644","20V9",1373394.07,3034585,2731000,0.996045404613695,0,0.00395459538630538,0,1,0,0.603094837056023,0,0.396905162943977,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1647052","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1083948",NA,NA,NA,NA,"Monitoramento da Cobertura da Terra e do Risco de Queimadas e Incêndios Florestais (INPE)","Custeio","MONITORAMENTO DA COBERTURA DA TERRA E DO RISCO DE QUEIMADAS E INCENDIOS FLORESTAIS (INPE)",2731000,3220000,3220000,3220000,5379000,5916205
"645","20VA",659308.74,3034431,2530000,0.857312252964427,0,0.142687747035573,0,1,0,0.519092885375494,0,0.480907114624506,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1313305","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1216695",NA,NA,NA,NA,"Apoio a Estudos e Projetos de Pesquisas e Desenvolvimento Relacionados à Mudança do Clima","Custeio","APOIO A ESTUDOS E PROJETOS DE PESQUISAS E DESENVOLVIMENTO RELACIONADOS A MUDANCA DO CLIMA",2530000,4005000,4205000,3555000,5670000,19367955
"646","20VB",7503758.98,16316847,15108569,0.576144570673768,0,0.423855429326232,0,1,0,0.348849186180372,0,0.651150813819628,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__9837957","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__5270612",NA,NA,NA,NA,"Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial","Custeio","PESQUISA, DESENVOLVIMENTO TECNOLOGICO E FORMACAO DE CAPITAL HUMANO PARA O SETOR ESPACIAL",15108569,15013000,23209090,15004291,30688172,39220551
"647","20VF",11372428.66,70047756,1.13e+08,0.283185840707965,0,0.716814159292035,0,1,0,0,0.283185840707965,0.716814159292035,"25000 - Ministério da Economia__1.13e+08",NA,NA,NA,NA,NA,"Fortalecimento Institucional","Investimento","FORTALECIMENTO INSTITUCIONAL",1.13e+08,118445730,156550000,1.88e+08,322067213,284200000
"648","20VG",1331718994.68,1588576911,960224871,0.958343091073716,0,0.0416569089262842,0,1,0,0,0.361369457800682,0.638630542199318,"25000 - Ministério da Economia__960224871",NA,NA,NA,NA,NA,"Gestão das Soluções Informatizadas da Secretaria Especial da Receita Federal do Brasil e do Conselho Administrativo de Recursos Fiscais","Custeio","GESTAO DAS SOLUCOES INFORMATIZADAS DA SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL E DO CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS",960224871,1180724113,1475617291,1582967794,1567428126,1293020000
"649","20VH",253674.53,503397,1254692,1,0,0,0,1,0,0,1,0,"25000 - Ministério da Economia__1254692",NA,NA,NA,NA,NA,"Supervisão de Mercados de Seguros, Resseguros, Capitalização e Previdência Complementar Aberta","Custeio","SUPERVISAO DE MERCADOS DE SEGUROS, RESSEGUROS, CAPITALIZACAO E PREVIDENCIA COMPLEMENTAR ABERTA",1254692,810000,1e+06,810000,1721304,2211169
"650","20VR",1600970.13,1.2e+07,1.6e+07,1,0,0,0,0,1,0,0,1,"53000 - Ministério do Desenvolvimento Regional__1.6e+07",NA,NA,NA,NA,NA,"Conservação e Recuperação de Bacias Hidrográficas","Custeio","CONSERVACAO E RECUPERACAO DE BACIAS HIDROGRAFICAS",1.6e+07,7e+06,2520000,9e+05,9e+05,403296
"651","20VS",54434.46,4200000,2e+06,0.25,0,0.75,0,0.75,0.25,0,0,1,"53000 - Ministério do Desenvolvimento Regional__2e+06",NA,NA,NA,NA,NA,"Formulação e Apoio à Implementação da Política Nacional de Recursos Hídricos","Investimento","FORMULACAO E APOIO A IMPLEMENTACAO DA POLITICA NACIONAL DE RECURSOS HIDRICOS",2e+06,3060000,1560000,1150659,550000,1320000
"652","20VY",4359.35,2630193,134600,1,0,0,0,1,0,0.483580980683507,0,0.516419019316493,"44000 - Ministério do Meio Ambiente__69510","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__65090",NA,NA,NA,NA,"Implementação de Ações de Cidadania e Educação Ambiental","Custeio","IMPLEMENTACAO DE ACOES DE CIDADANIA E EDUCACAO AMBIENTAL",134600,78000,475000,231175,236160,262400
"653","20W1",12814.44,253455,470000,1,0,0,0,1,0,0.483585106382979,0,0.516414893617021,"44000 - Ministério do Meio Ambiente__242715","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__227285",NA,NA,NA,NA,"Iniciativas para Implementação e Monitoramento da Política Nacional Sobre Mudança do Clima e da Contribuição Nacionalmente Determinada","Custeio","INICIATIVAS PARA IMPLEMENTACAO E MONITORAMENTO DA POLITICA NACIONAL SOBRE MUDANCA DO CLIMA E DA CONTRIBUICAO NACIONALMENTE DETERMINADA",470000,270000,533000,416027,425000,4e+05
"654","20W2",97799.35,122035,30000,1,0,0,0,1,0,0.4836,0,0.5164,"44000 - Ministério do Meio Ambiente__15492","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__14508",NA,NA,NA,NA,"Redução da Vulnerabilidade aos Efeitos da Desertificação","Custeio","REDUCAO DA VULNERABILIDADE AOS EFEITOS DA DESERTIFICACAO",30000,130000,8e+05,555664,5e+05,9e+05
"655","20W8",0,53107,10000,1,0,0,0,1,0,0.4836,0,0.5164,"44000 - Ministério do Meio Ambiente__5164","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4836",NA,NA,NA,NA,"Implementação da Agenda Ambiental na Administração Pública - A3P","Custeio","IMPLEMENTACAO DA AGENDA AMBIENTAL NA ADMINISTRACAO PUBLICA - A3P",10000,64000,150000,113000,119160,132400
"656","20WA",18235338.08,23174150,7535300,0.854020410600772,0,0.145979589399228,0,1,0,0.125096147465927,0,0.874903852534073,"22000 - Ministério da Agricultura, Pecuária e Abastecimento__6592663","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__942637",NA,NA,NA,NA,"Cadastro, Recomposição e Produção Florestal","Custeio","CADASTRO, RECOMPOSICAO E PRODUCAO FLORESTAL",7535300,11703486,3850000,3195000,4149853,3735000
"657","20WB",189783.04,3841196,2519350,0.982614563280211,0,0.0173854367197888,0,1,0,0.0729569134895906,0.911381507134777,0.0156615793756326,"22000 - Ministério da Agricultura, Pecuária e Abastecimento__2335546","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__183804",NA,NA,NA,NA,"Pesquisa e Informações Florestais","Custeio","PESQUISA E INFORMACOES FLORESTAIS",2519350,3898931,790000,1161587,2192699,2399525
"658","20WH",177360.29,445300,450000,0.955555555555556,0,0.0444444444444444,0,1,0,0,0,1,"44000 - Ministério do Meio Ambiente__450000",NA,NA,NA,NA,NA,"Controle Ambiental de Produtos, Substâncias, Resíduos e Atividades Potencialmente Poluidoras","Custeio","CONTROLE AMBIENTAL DE PRODUTOS, SUBSTANCIAS, RESIDUOS E ATIVIDADES POTENCIALMENTE POLUIDORAS",450000,449922,2500000,2677095,2e+06,2399047
"659","20WI",59109606.66,130071589,122286460,0.998460974338451,0,0.00153902566154912,0,1,0,0,0,1,"53000 - Ministério do Desenvolvimento Regional__122286460",NA,NA,NA,NA,NA,"Implementação da Política Nacional de Recursos Hídricos","Custeio","IMPLEMENTACAO DA POLITICA NACIONAL DE RECURSOS HIDRICOS",122286460,129952075,120932609,136277860,153471698,161484356
"660","20WK",163113.71,1558651,1596893,0.498988974214302,0,0.501011025785698,0,1,0,0.150457169015081,0.187864809977876,0.661678021007043,"44000 - Ministério do Meio Ambiente__1356629","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__240264",NA,NA,NA,NA,"Pesquisa, Avaliação e Monitoramento da Flora Brasileira","Investimento","PESQUISA, AVALIACAO E MONITORAMENTO DA FLORA BRASILEIRA",1596893,1688832,1770000,1380000,1920000,3463441
"661","20WM",94116339.48,111556486,96037719,0.958349697997305,0,0.0416503020026954,0,1,0,0.219414759319721,0.404513199652316,0.376072041027963,"44000 - Ministério do Meio Ambiente__74965626","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__21072093",NA,NA,NA,NA,"Apoio à Criação, Gestão e Implementação das Unidades de Conservação Federais","Custeio","APOIO A CRIACAO, GESTAO E IMPLEMENTACAO DAS UNIDADES DE CONSERVACAO FEDERAIS",96037719,113746000,176533154,224013972,217874354,129746993
"662","20WN",9186436.54,12758344,3e+06,1,0,0,0,1,0,0.483583333333333,0,0.516416666666667,"44000 - Ministério do Meio Ambiente__1549250","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1450750",NA,NA,NA,NA,"Execução de Pesquisa e Conservação de Espécies e do Patrimônio Espeleológico","Custeio","EXECUCAO DE PESQUISA E CONSERVACAO DE ESPECIES E DO PATRIMONIO ESPELEOLOGICO",3e+06,12960000,19809567,17012337,16500000,17500000
"663","20WQ",1902991.8,8720865,9150004,0.99999989071043,0,1.09289569709478e-07,0,1,0,0.639301469157828,0.220845258646881,0.139853272195291,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__5849611","53000 - Ministério do Desenvolvimento Regional__3300393",NA,NA,NA,NA,"Gestão de Políticas de Desenvolvimento Regional, Ordenamento Territorial e Irrigação","Custeio","GESTAO DE POLITICAS DE DESENVOLVIMENTO REGIONAL, ORDENAMENTO TERRITORIAL E IRRIGACAO",9150004,9600000,7600000,1.3e+07,2957889,13938577
"664","20WW",920841869.477337,883204261.65,889336823,0.962284372880397,0,0.0377156271196026,0,1,0,0.530853803407621,0,0.469146196592379,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__472107835","35000 - Ministério das Relações Exteriores__417228988",NA,NA,NA,NA,"Relações e Negociações Bilaterais","Custeio","RELACOES E NEGOCIACOES BILATERAIS",889336823,706465650,782000001,697462000,944304676,831510097
"665","20WX",83352776.2805015,81590969.78,80748737,0.992211506664185,0,0.00778849333581527,0,1,0,0.605745028556917,0,0.394254971443083,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__48913146","35000 - Ministério das Relações Exteriores__31835591",NA,NA,NA,NA,"Relações e Negociações Multilaterais","Custeio","RELACOES E NEGOCIACOES MULTILATERAIS",80748737,64389539,74900000,58138000,73014700,71286860
"666","20WY",31442519.1811242,34073840.61,39527998,0.989880590461475,0,0.0101194095385251,0,1,0,0.536103295694358,0.0635003573922464,0.400396346913395,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__21191090","35000 - Ministério das Relações Exteriores__18336908",NA,NA,NA,NA,"Difusão Cultural e Divulgação do Brasil no Exterior","Custeio","DIFUSAO CULTURAL E DIVULGACAO DO BRASIL NO EXTERIOR",39527998,32694865,36696746,30382250,26000018,28038490
"667","20WZ",5700642.70059075,9144077.99000001,8955657,1,0,0,0,1,0,0.610499486525668,0,0.389500513474332,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__5467424","35000 - Ministério das Relações Exteriores__3488233",NA,NA,NA,NA,"Promoção Comercial e de Investimentos","Custeio","PROMOCAO COMERCIAL E DE INVESTIMENTOS",8955657,9490815,12750000,15723750,15040000,16978425
"668","20X0",5420609.5838906,6656907,9e+06,1,0,0,0,0,1,0.6105,0,0.3895,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__5494500","35000 - Ministério das Relações Exteriores__3505500",NA,NA,NA,NA,"Cooperação Humanitária Internacional e Participação da Sociedade Civil","Custeio","COOPERACAO HUMANITARIA INTERNACIONAL E PARTICIPACAO DA SOCIEDADE CIVIL",9e+06,6039998,7700000,7125000,3950000,16984128
"669","20X1",47108522.389021,78082955,24713090,0.920465429454593,0,0.0795345705454073,0,1,0,0.727430199946668,0,0.272569800053332,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__17977048","52000 - Ministério da Defesa__6736042",NA,NA,NA,NA,"Participação Brasileira em Missões de Paz","Custeio","PARTICIPACAO BRASILEIRA EM MISSOES DE PAZ",24713090,81699988,9.9e+07,1.15e+08,206024091,246738000
"670","20X3",1509369.68,2106387,1716441,1,0,0,0,1,0,0.790286412408,0,0.209713587592,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1356480","52000 - Ministério da Defesa__359961",NA,NA,NA,NA,"Mobilização e Logística para a Defesa Nacional","Custeio","MOBILIZACAO E LOGISTICA PARA A DEFESA NACIONAL",1716441,2407582,3223660,2800000,2844000,2650000
"671","20X4",12043740.49,42232889,49856466,0.819481769927295,0,0.180518230072705,0,1,0,0.568368243348817,0,0.431631756651183,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__28336832","52000 - Ministério da Defesa__21519634",NA,NA,NA,NA,"Manutenção do Sistema de Proteção da Amazônia - SIPAM","Custeio","MANUTENCAO DO SISTEMA DE PROTECAO DA AMAZONIA - SIPAM",49856466,49433786,46529934,42325125,64873966,74375507
"672","20X5",4340752.3856,11416978,15792327,0.998395929871513,0,0.00160407012848708,0,1,0,0.789017539973685,0,0.210982460026315,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__12460423","52000 - Ministério da Defesa__3331904",NA,NA,NA,NA,"Operações de Comando e Controle da Defesa Nacional","Custeio","OPERACOES DE COMANDO E CONTROLE DA DEFESA NACIONAL",15792327,1.2e+07,26380890,2.6e+07,25046678,29263000
"673","20X6",25648187.694676,55993501,39284560,0.451291168845979,0,0.548708831154021,0,1,0,0.356648769898403,0,0.643351230101597,"52000 - Ministério da Defesa__25273770","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__14010790",NA,NA,NA,NA,"Desenvolvimento Sustentável da Região do Calha Norte","Investimento","DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DO CALHA NORTE",39284560,47299996,47304700,37073430,37440314,41803953
"674","20X7",22931561.504767,34583258,100304621,0.966318899704531,0,0.0336811002954689,0,1,0,0.416998076290025,0,0.583001923709975,"52000 - Ministério da Defesa__58477787","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__41826834",NA,NA,NA,NA,"Emprego Conjunto ou Combinado das Forças Armadas","Custeio","EMPREGO CONJUNTO OU COMBINADO DAS FORCAS ARMADAS",100304621,36168725,56662644,41100000,33249000,36744000
"675","20X8",1192096.599064,3885784,2374974,0.381711126100749,0,0.618288873899251,0,1,0,0.301660565547244,0,0.698339434452756,"52000 - Ministério da Defesa__1658538","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__716436",NA,NA,NA,NA,"Prestação de Ensino de Graduação e Pós-Graduação do Instituto Tecnológico de Aeronáutica - ITA","Investimento","PRESTACAO DE ENSINO DE GRADUACAO E POS-GRADUACAO DO INSTITUTO TECNOLOGICO DE AERONAUTICA - ITA",2374974,2374988,2500000,3e+06,2100000,3486635
"676","20X9",11478659.255651,18931224,18244601,0.808381668637204,0,0.191618331362796,0,1,0,0.599867599187288,0,0.400132400812712,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__10944345","52000 - Ministério da Defesa__7300256",NA,NA,NA,NA,"Capacitação Profissional da Aeronáutica","Custeio","CAPACITACAO PROFISSIONAL DA AERONAUTICA",18244601,16996617,17100000,20100000,13470000,16756769
"677","20XB",2883861.19389,10634021,10499851,0.538755359480816,0,0.461244640519185,0,1,0,0.3936314905802,0.393119197596233,0.213249311823568,"52000 - Ministério da Defesa__6366779","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4133072",NA,NA,NA,NA,"Pesquisa e Desenvolvimento no Setor Aeroespacial","Custeio","PESQUISA E DESENVOLVIMENTO NO SETOR AEROESPACIAL",10499851,9729993,19782668,10480000,9801778,59687906
"678","20XE",33965208.274418,60662238,57046135,0.800845666406672,0,0.199154333593328,0,1,0,0.520799980577124,0.0736246197923838,0.405575399630492,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__29709626","52000 - Ministério da Defesa__27336509",NA,NA,NA,NA,"Manutenção dos Sistemas de Comando e Controle do Exército","Custeio","MANUTENCAO DOS SISTEMAS DE COMANDO E CONTROLE DO EXERCITO",57046135,68609804,68609815,101978959,109662079,94334140
"679","20XH",7409000.09,22927590,3e+07,0.0166666666666667,0,0.983333333333333,0,1,0,0,1,0,"52000 - Ministério da Defesa__3e+07",NA,NA,NA,NA,NA,"Realização de Ações de Cooperação do Exército","Investimento","REALIZACAO DE ACOES DE COOPERACAO DO EXERCITO",3e+07,3.9e+07,3.9e+07,55396976,55396974,112863051
"680","20XJ",9484182.866191,21218063,20553674,0.645234131863724,0,0.354765868136276,0,1,0,0.448673750493464,0,0.551326249506536,"52000 - Ministério da Defesa__11331780","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__9221894",NA,NA,NA,NA,"Desenvolvimento Tecnológico do Exército","Custeio","DESENVOLVIMENTO TECNOLOGICO DO EXERCITO",20553674,23053525,23053538,21246563,19530212,14714160
"681","20XL",1532088.56,2006128,594444,0.672877512431785,0,0.327122487568215,0,1,0,0.531765818142668,0,0.468234181857332,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__316105","52000 - Ministério da Defesa__278339",NA,NA,NA,NA,"Saúde em Operações Militares","Custeio","SAUDE EM OPERACOES MILITARES",594444,2848787,2848787,1800000,8e+05,8e+05
